Name,Category,Revenue,Growth,Employees
Acme Corp,Technology,4200000,12.5,340
Bright Labs,Healthcare,3100000,8.3,210
Cedar Inc,Finance,5600000,15.1,520
Delta Co,Technology,2800000,-3.2,180
Echo Systems,Energy,7200000,22.7,890
Falcon Ltd,Finance,4100000,6.9,310
Globe Media,Media,1900000,1.4,95
Horizon AI,Technology,6300000,31.2,270
Ivy Analytics,Healthcare,2400000,11.8,150
JetStream,Energy,5100000,9.6,430
Kite Works,Manufacturing,3300000,-1.5,260
Luna Digital,Media,2600000,18.4,120
Maple Corp,Finance,8100000,7.2,670
Nova Tech,Technology,4800000,25.3,350
Orion Labs,Healthcare,3700000,14.6,290
Pine Systems,Manufacturing,2100000,3.8,200
Quartz AI,Technology,5500000,28.9,310
Ridge Energy,Energy,6800000,11.1,550
Summit Inc,Finance,4400000,5.7,380
Terra Cloud,Technology,9200000,33.5,720
Umbra Media,Media,1500000,-5.1,70
Vertex Corp,Healthcare,3900000,16.2,240
Wave Digital,Technology,7100000,21.8,480
Xenon Labs,Energy,4600000,8.9,360
York Systems,Manufacturing,2900000,2.3,230
Zenith AI,Technology,8500000,29.4,610
